Month_year,City of London,Barking & Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith & Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
,E09000001,E09000002,E09000003,E09000004,E09000005,E09000006,E09000007,E09000008,E09000009,E09000010,E09000011,E09000012,E09000013,E09000014,E09000015,E09000016,E09000017,E09000018,E09000019,E09000020,E09000021,E09000022,E09000023,E09000024,E09000025,E09000026,E09000027,E09000028,E09000029,E09000030,E09000031,E09000032,E09000033
Jan-95,"91,449","50,460","93,285","64,958","71,307","81,671","1,20,933","69,158","79,886","72,515","62,300","61,297","1,24,903","76,288","84,770","68,000","73,835","72,232","92,516","1,82,695","80,876","67,771","60,491","82,071","53,539","72,190","1,09,326","67,885","71,537","59,865","61,319","88,559","1,33,025"
Feb-95,"82,203","51,086","93,190","64,788","72,022","81,658","1,19,509","68,951","80,897","73,155","60,993","63,187","1,22,088","78,901","83,396","69,394","75,031","71,052","94,342","1,82,345","81,230","65,382","60,869","79,983","53,154","72,142","1,11,103","64,799","70,893","62,319","60,252","88,641","1,31,468"
Mar-95,"79,121","51,269","92,248","64,367","72,016","81,449","1,20,282","68,712","81,380","72,190","61,378","63,593","1,20,636","78,522","83,416","69,368","74,189","72,098","93,466","1,82,879","81,111","66,337","60,288","80,662","53,458","72,501","1,07,325","65,763","70,307","63,939","60,871","87,125","1,32,260"
Apr-95,"77,101","53,134","90,763","64,278","72,966","81,124","1,20,098","68,610","82,189","71,443","61,928","65,140","1,21,425","79,546","83,568","69,444","73,911","71,890","93,344","1,84,177","81,673","66,389","59,471","79,991","54,480","72,229","1,06,875","63,074","69,412","66,233","60,971","87,026","1,33,370"
May-95,"84,409","53,042","90,258","63,997","73,704","81,543","1,19,929","68,845","82,077","70,631","63,513","66,194","1,24,434","79,374","83,854","68,535","73,117","72,877","94,346","1,91,474","82,124","69,035","58,551","80,874","55,804","72,367","1,07,708","64,420","69,759","66,433","61,494","86,518","1,33,911"
Jun-95,"94,901","53,700","90,107","64,252","74,310","82,383","1,21,887","69,053","81,631","71,348","64,752","66,921","1,26,175","79,956","84,173","68,465","74,005","72,331","97,429","1,97,266","82,206","68,881","58,041","80,705","56,068","72,279","1,12,865","64,156","70,125","66,232","61,548","88,114","1,34,562"
Jul-95,"1,10,128","52,113","91,441","63,723","74,127","82,899","1,24,028","69,142","82,352","71,838","65,486","68,391","1,24,382","80,746","84,227","68,681","74,671","73,718","98,976","1,97,963","82,526","69,609","58,126","81,056","55,458","72,881","1,14,657","67,025","70,790","64,692","61,934","89,831","1,33,450"
Aug-95,"1,12,329","52,232","92,361","64,433","73,547","82,054","1,25,530","68,993","82,707","72,238","65,076","68,097","1,23,625","81,218","84,431","69,023","74,968","74,480","98,951","1,98,037","83,343","68,840","58,151","80,781","54,709","73,275","1,12,320","65,526","69,958","63,472","61,916","90,561","1,36,582"
Sep-95,"1,04,473","51,472","93,273","64,510","73,790","81,440","1,20,597","69,394","82,011","71,725","63,997","68,753","1,23,094","82,143","83,607","68,108","73,844","74,427","99,583","1,97,048","85,111","70,156","58,743","80,825","54,586","73,204","1,10,425","63,467","69,937","62,178","61,548","91,374","1,35,993"
Oct-95,"1,08,038","51,514","92,567","64,530","73,264","81,862","1,17,458","68,935","80,523","72,349","63,405","67,620","1,23,443","81,791","82,493","67,426","72,993","73,643","97,580","2,00,006","85,727","69,616","58,073","79,569","54,790","72,917","1,08,407","60,886","69,964","62,066","60,573","90,246","1,34,513"
Nov-95,"1,17,636","50,849","90,883","63,846","72,782","82,558","1,15,419","68,880","79,272","71,988","63,744","67,238","1,21,930","81,130","82,246","66,182","71,760","73,047","95,030","1,99,675","84,557","68,054","58,075","79,913","54,324","72,394","1,09,130","61,725","70,608","62,414","61,543","89,476","1,31,741"
Dec-95,"1,27,232","50,945","91,134","63,817","72,524","82,966","1,18,739","68,407","79,700","72,391","64,105","65,865","1,22,723","81,327","82,054","66,747","72,746","73,499","91,095","2,00,722","83,584","67,199","57,700","79,581","54,521","72,587","1,08,567","62,394","70,205","63,986","61,390","88,478","1,33,394"
Jan-96,"1,08,999","50,828","91,111","63,996","72,806","82,210","1,19,560","68,006","80,214","71,544","62,417","66,327","1,26,914","81,677","83,216","67,347","72,869","73,377","89,406","1,98,312","82,561","68,780","57,838","81,277","54,376","72,861","1,11,174","65,753","70,031","67,552","62,060","89,092","1,33,843"
Feb-96,"93,357","51,441","92,430","64,504","73,084","81,419","1,23,371","68,032","80,836","71,070","61,714","66,988","1,29,463","83,073","83,765","68,749","74,778","73,082","89,930","1,95,950","84,365","72,306","58,274","80,460","55,117","73,535","1,12,961","67,876","69,291","71,070","61,589","89,095","1,36,229"
Mar-96,"93,707","51,907","91,410","64,788","72,780","81,633","1,24,723","68,270","81,011","71,544","62,475","67,707","1,34,457","82,828","84,305","68,852","74,650","71,603","90,158","1,97,477","84,656","71,762","58,483","80,063","55,012","73,850","1,14,700","68,867","69,732","69,638","61,695","90,461","1,32,810"
Apr-96,"1,20,543","51,724","92,394","65,286","72,370","81,481","1,29,159","68,898","81,041","72,517","64,645","67,062","1,31,884","83,631","84,109","68,377","75,171","71,630","94,201","2,01,218","86,285","71,664","59,520","82,034","54,701","74,676","1,14,881","69,598","69,485","66,727","61,467","90,408","1,34,668"
May-96,"1,12,050","51,736","91,059","65,081","72,995","82,372","1,35,336","68,832","81,821","73,630","66,462","66,986","1,30,970","84,139","84,738","68,156","74,454","72,829","97,260","2,02,341","85,939","71,386","60,173","83,678","54,651","74,311","1,17,000","68,910","70,838","65,602","61,075","91,533","1,33,051"
Jun-96,"1,14,226","50,761","91,978","65,120","73,498","82,946","1,43,862","69,052","82,562","74,158","66,510","69,124","1,28,464","84,690","85,387","68,488","74,621","74,539","99,610","1,99,343","87,987","73,469","60,284","84,551","54,390","74,998","1,17,604","70,413","71,884","67,437","61,425","92,090","1,38,852"
Jul-96,"97,547","50,621","92,444","65,151","75,551","84,089","1,47,974","69,400","84,005","74,456","65,526","70,785","1,31,196","84,659","86,061","69,236","75,309","75,037","1,00,538","2,07,443","87,525","73,809","60,187","82,609","54,977","75,514","1,19,030","70,235","72,810","69,424","62,047","93,215","1,39,436"
Aug-96,"1,14,179","51,105","95,516","65,960","76,914","84,400","1,42,462","70,480","84,824","75,286","65,993","71,789","1,33,758","84,154","85,977","69,854","76,170","73,861","1,00,572","2,09,218","88,158","72,820","59,695","82,862","55,884","77,111","1,17,525","70,408","72,524","69,860","62,662","95,216","1,44,182"
Sep-96,"1,08,138","51,893","97,490","66,501","78,667","84,676","1,36,552","70,697","85,674","75,749","66,181","71,817","1,33,458","83,730","87,203","70,792","76,586","74,747","99,715","2,20,388","88,162","72,935","60,733","84,808","57,312","77,310","1,18,813","70,906","72,293","72,296","62,669","94,932","1,42,223"
Oct-96,"98,934","52,533","97,844","66,659","77,991","85,513","1,33,850","71,406","85,595","75,934","67,116","71,158","1,33,292","85,169","87,899","71,004","77,180","73,999","1,00,372","2,17,286","89,015","72,307","60,855","87,510","57,467","76,939","1,20,264","70,748","72,617","73,388","62,781","94,305","1,44,137"
Nov-96,"99,707","52,216","97,155","66,354","77,914","85,781","1,34,128","71,398","86,230","75,977","66,593","71,090","1,33,748","87,006","88,481","70,651","78,116","75,191","1,00,404","2,23,197","89,552","73,356","61,187","89,154","57,501","76,479","1,21,754","73,856","73,947","74,419","62,948","92,964","1,43,427"
Dec-96,"1,06,427","53,854","97,174","66,486","78,262","86,049","1,34,749","72,097","86,863","76,879","66,609","70,138","1,36,940","89,258","89,980","70,670","79,138","76,746","1,02,669","2,13,709","90,009","74,737","61,411","88,983","57,576","76,719","1,21,989","73,838","74,371","73,725","63,711","93,930","1,47,407"
Jan-97,"1,16,343","54,459","98,559","67,351","79,664","86,846","1,35,956","72,165","88,092","77,693","68,147","69,886","1,38,214","90,471","90,164","71,622","80,554","78,300","1,06,085","2,25,231","91,652","78,248","61,488","89,455","58,374","78,163","1,22,725","73,822","75,080","74,439","64,070","95,748","1,50,842"
Feb-97,"1,11,142","55,451","1,00,076","67,981","81,213","88,201","1,41,531","72,207","89,942","78,081","67,836","70,506","1,37,049","90,606","91,897","73,211","81,021","77,535","1,08,100","2,30,873","92,613","79,064","62,432","90,557","58,608","79,164","1,24,771","71,982","74,760","80,441","64,743","98,999","1,53,231"
Mar-97,"1,07,488","55,005","1,01,130","67,824","82,322","89,765","1,43,444","72,230","91,027","78,402","69,326","72,210","1,36,633","91,016","92,394","73,757","81,683","77,908","1,11,170","2,37,079","93,820","79,199","63,214","91,744","58,996","79,278","1,27,130","73,292","76,247","82,804","65,097","1,01,248","1,58,273"
Apr-97,"1,08,480","55,280","1,01,201","68,471","82,771","90,000","1,43,592","73,528","91,991","79,604","69,274","76,011","1,39,932","90,862","94,334","74,405","81,308","81,008","1,12,635","2,38,468","94,919","77,778","63,627","93,017","59,362","79,359","1,28,897","75,551","76,417","87,751","65,569","1,03,283","1,61,637"
May-97,"1,15,453","54,937","1,03,287","69,353","82,730","91,230","1,48,617","74,830","93,697","81,701","71,221","79,503","1,46,514","92,976","95,984","74,400","82,645","84,064","1,14,851","2,36,535","97,263","81,000","64,257","93,984","59,411","80,730","1,30,648","78,892","78,807","85,916","66,496","1,06,244","1,66,046"
Jun-97,"1,18,317","55,287","1,04,609","70,764","83,876","92,199","1,48,336","76,819","95,819","83,859","70,854","80,359","1,51,782","93,539","97,210","74,568","84,254","84,383","1,16,421","2,47,303","97,628","85,372","64,964","95,283","60,192","82,489","1,34,409","81,802","80,213","88,146","67,371","1,09,285","1,64,894"
Jul-97,"1,17,034","55,659","1,07,235","71,130","87,637","94,717","1,48,941","78,690","99,752","85,030","72,558","80,580","1,53,057","96,822","1,00,147","75,665","86,571","85,577","1,17,486","2,54,978","1,00,235","91,999","66,950","97,283","60,571","83,540","1,37,951","81,759","82,549","87,751","69,363","1,13,114","1,65,481"
Aug-97,"1,13,585","56,507","1,08,730","72,141","90,164","96,754","1,45,623","80,606","1,02,078","86,409","73,572","80,279","1,58,848","95,978","1,02,722","76,927","88,005","86,594","1,18,041","2,57,691","1,01,607","91,972","68,313","98,365","62,038","84,855","1,40,246","83,842","83,354","87,897","70,330","1,12,449","1,68,254"
Sep-97,"1,15,159","56,306","1,12,380","72,830","91,473","98,920","1,51,748","81,653","1,05,119","86,688","75,519","82,295","1,63,909","99,362","1,05,602","79,095","89,720","88,805","1,18,745","2,56,336","1,04,934","92,522","68,944","98,849","62,700","86,034","1,43,957","85,518","84,293","88,180","71,028","1,13,410","1,72,825"
Oct-97,"1,21,251","57,200","1,14,515","73,379","92,208","1,00,216","1,57,898","82,352","1,05,477","87,915","75,960","82,126","1,66,851","1,00,147","1,06,771","79,892","90,591","88,643","1,19,595","2,51,863","1,05,335","89,224","69,318","97,626","63,548","87,905","1,46,080","86,214","85,649","88,055","70,871","1,12,445","1,74,358"
Nov-97,"1,31,074","57,575","1,15,356","73,620","92,895","1,00,903","1,67,189","83,177","1,05,042","87,988","75,273","83,135","1,64,070","1,01,849","1,07,853","80,399","91,872","90,149","1,21,457","2,58,398","1,07,889","91,413","69,405","99,428","63,681","88,281","1,50,440","82,747","87,381","88,188","71,402","1,15,121","1,75,552"
Dec-97,"1,30,035","58,025","1,15,521","74,630","94,036","1,00,945","1,68,839","83,834","1,05,634","89,945","75,273","81,231","1,63,820","1,01,530","1,08,718","80,642","93,143","91,463","1,22,034","2,65,112","1,10,385","93,057","70,897","1,02,799","64,176","90,666","1,52,620","81,288","88,380","89,546","72,405","1,15,955","1,73,978"
Jan-98,"1,24,382","57,559","1,15,902","76,863","93,746","1,02,342","1,69,012","84,643","1,07,575","90,496","76,900","83,516","1,68,222","1,01,024","1,08,856","81,340","93,724","93,428","1,22,749","2,69,224","1,12,996","96,231","72,382","1,05,283","64,962","91,622","1,52,270","82,410","89,866","90,192","73,503","1,19,265","1,79,527"
Feb-98,"1,43,829","57,360","1,16,995","78,065","95,171","1,03,543","1,62,345","85,365","1,07,332","91,921","78,919","82,417","1,72,034","1,01,655","1,08,953","82,785","93,383","96,347","1,24,117","2,70,629","1,11,799","97,302","73,373","1,04,419","65,452","93,396","1,51,211","83,946","89,954","90,684","73,700","1,19,030","1,80,294"
Mar-98,"1,56,508","57,908","1,18,866","79,062","96,097","1,04,597","1,63,829","85,751","1,07,112","91,817","79,751","84,204","1,74,468","1,03,783","1,10,598","82,752","93,129","96,431","1,24,790","2,65,000","1,09,702","96,672","73,598","1,05,517","65,552","92,292","1,50,026","85,932","90,572","91,785","73,231","1,21,700","1,89,293"
Apr-98,"1,63,403","59,196","1,20,487","78,423","97,849","1,05,240","1,65,652","86,037","1,07,301","92,143","79,996","83,176","1,75,880","1,05,381","1,11,934","84,098","94,828","98,462","1,27,269","2,70,216","1,09,781","97,598","74,803","1,06,270","65,690","92,631","1,53,490","89,015","89,856","94,496","72,767","1,24,439","1,94,817"
May-98,"1,43,625","60,356","1,22,608","79,408","1,00,109","1,05,760","1,69,049","86,236","1,10,006","91,518","81,288","86,573","1,73,620","1,08,353","1,14,375","85,047","96,743","98,010","1,31,978","2,73,275","1,12,487","99,378","75,874","1,08,041","66,605","92,893","1,54,920","89,632","90,466","96,080","73,940","1,27,832","1,97,806"
Jun-98,"1,32,251","60,583","1,22,490","80,322","1,01,400","1,07,198","1,72,582","86,840","1,12,667","91,219","82,753","87,176","1,73,110","1,09,314","1,14,889","86,703","98,079","1,00,370","1,39,643","2,77,600","1,16,420","1,04,807","76,541","1,08,642","67,631","95,028","1,58,949","93,386","91,130","97,173","76,353","1,26,163","1,91,821"
Jul-98,"1,40,377","60,412","1,24,040","81,580","1,02,925","1,08,989","1,75,848","88,133","1,13,803","92,697","82,868","91,550","1,76,248","1,10,177","1,18,111","87,049","98,352","1,00,864","1,43,693","2,72,128","1,18,317","1,07,921","77,548","1,08,647","68,413","95,613","1,60,232","93,503","92,125","96,482","77,312","1,26,028","1,88,999"
Aug-98,"1,48,993","60,837","1,25,041","81,775","1,03,240","1,11,457","1,76,576","89,331","1,14,531","94,160","82,799","89,590","1,82,846","1,11,526","1,18,586","87,174","99,459","1,02,692","1,43,531","2,71,068","1,20,298","1,09,637","77,655","1,11,213","69,055","95,984","1,65,706","95,488","92,560","98,577","77,016","1,26,715","1,86,698"
Sep-98,"1,52,807","61,485","1,25,320","82,217","1,04,174","1,12,709","1,73,335","90,928","1,14,786","95,474","82,748","92,146","1,83,796","1,10,683","1,19,232","86,823","1,00,097","1,03,553","1,41,481","2,66,527","1,20,943","1,08,289","78,308","1,10,274","69,125","95,692","1,70,784","93,807","93,303","98,087","76,474","1,30,163","1,95,119"
Oct-98,"1,62,020","62,005","1,25,719","82,767","1,04,399","1,12,592","1,72,385","91,165","1,14,190","95,077","82,374","88,623","1,77,413","1,10,847","1,17,105","86,775","1,00,998","1,03,557","1,37,820","2,62,419","1,21,774","1,07,016","75,821","1,10,666","69,597","96,576","1,78,761","94,680","94,599","99,342","76,937","1,28,482","1,96,667"
Nov-98,"1,52,387","62,240","1,25,086","83,838","1,04,827","1,12,197","1,74,582","91,461","1,14,160","94,977","83,127","91,616","1,74,444","1,08,927","1,17,229","87,508","1,01,277","1,02,070","1,37,652","2,55,844","1,21,898","1,06,182","75,228","1,09,274","69,398","96,240","1,80,444","96,759","95,133","1,00,982","77,342","1,28,841","1,96,670"
